mlt,mlat,glon,tec,peak_n,mlat_n,width_n,peak_s,mlat_s,width_s,trough,PTC,DOP,AOP,doy,alt,f107,kp,sym_h_min,sym_h_max,sym_h_range
0,-29,-142.5,18.869566,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
1,-29,-142.5,18.876823,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
2,-29,-142.5,18.059132,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
3,-29,-142.5,16.752174,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
4,-29,-142.5,15.9825325,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
5,-29,-142.5,15.289427,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
6,-29,-142.5,19.475664,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
7,-29,-142.5,27.464912,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
8,-29,-142.5,33.95289,0,0,0,0,0,0,0,0,0,0,75,500,134.199996948242,7,-8,3,11
9,-29,-142.5,39.021236,0,0,0,0,0,0,69.5461883544922,0,0,0,75,500,134.199996948242,7,-8,3,11
10,-29,-142.5,45.024452,86.6783383487734,10.2315714702613,16.993976052063,84.6892121840231,-9.37338585427322,15.0222448095457,75.6578598022461,1.13,19.6,0.58,75,500,134.199996948242,7,-8,3,11
11,-29,-142.5,48.454975,100.853388120124,12.2423039008389,14.3312468012448,98.1946892757439,-11.4057400258928,12.7122169780085,76.1473999023438,1.31,23.65,0.67,75,500,134.199996948242,7,-8,3,11
12,-29,-142.5,48.893333,112.837031941291,12.4007485686186,12.7619503576629,103.974904932072,-12.0194512307844,11.978952000463,76.2267684936523,1.42,24.42,2.04,75,500,134.199996948242,7,-8,3,11
13,-29,-142.5,44.666122,103.237677968274,11.7660536441101,15.1398837994618,107.600998645201,-10.6860313961093,12.2221488466323,84.5887603759766,1.25,22.45,-1.03,75,500,134.199996948242,7,-8,3,11
